"Boro.Block.Lot","Condominium","Address","Neighborhood","Building.Class","Total.Units","Year.Built","Gross.SqFt","Estimated.Gross.Income","Gross.Income.per.SqFt","Estimated.Expense","Expense.per.SqFt","Net.Operating.Income","Full.Market.Value","Market.Value.per.SqFt","Distance.to.96.Street","Rental.Yield"
"1-01151-7501","0759-R3","2 AMSTERDAM AVENUE NY","UPPER WEST SIDE (59-79)","R4  -ELEVATOR",1,1991,"945","45,398",48.04,"11,642",12.32,33756,272000,287.83,1.8511506,12.4102941176471
"1-01869-7501","0516-R2","229 WEST 97 STREET NY","UPPER WEST SIDE (96-116)","R4  -ELEVATOR",1,1901,"1,466","55,195",37.65,"9,148",6.24,46047,370000,252.39,0.3256136,12.4451351351351
"1-01025-7501","0606-R2","828 7 AVENUE NY","MIDTOWN WEST","R4  -ELEVATOR",3,1916,"1,567","82,753",52.81,"9,715",6.2,73038,588000,375.24,3.371095,12.4214285714286
"1-01458-7502","0645-R2","1175 YORK AVENUE NY","UPPER EAST SIDE (59-79)","R4  -ELEVATOR",4,1958,"2,764","119,709",43.31,"45,026",16.29,74683,601000,217.44,3.6898732,12.426455906822
"1-02067-7501","1823-R1","469 WEST 152 STREET NY","HARLEM-UPPER","R4  -ELEVATOR",6,1920,"6,390","189,016",29.58,"106,330",16.64,82686,651999,102.03,4.7512244,12.6819212912903
"1-01209-7502","2359-R1","360 CENTRAL PARK WEST NY","UPPER WEST SIDE (79-96)","R4  -ELEVATOR",2,1929,"2,632","123,441",46.9,"39,533",15.02,83908,675000,256.46,0.3653832,12.4308148148148
"1-01632-7501","0666-R1","165 EAST 104 STREET NY","HARLEM-EAST","R2  -WALK-UP",12,1910,"7,690","212,167",27.59,"123,963",16.12,88204,689002,89.6,1.923233,12.8017044943266
"1-01729-7501","0846-R2","47 WEST 131 STREET NY","HARLEM-CENTRAL","R2  -WALK-UP",4,1880,"5,224","167,168",32,"76,427",14.63,90741,719998,137.83,2.5110774,12.6029516748658
"1-01630-7501","0441-R1","169 EAST 102 STREET NY","HARLEM-EAST","R2  -WALK-UP",17,1920,"9,590","221,241",23.07,"126,013",13.14,95228,725998,75.7,1.5168374,13.1168405422604
"1-01630-7501","0441-R2","173 EAST 102 STREET NY","HARLEM-EAST","R2  -WALK-UP",17,1920,"9,590","227,283",23.7,"125,054",13.04,102229,783000,81.65,1.5261584,13.0560664112388
"1-01728-7501","1280-R2","25 WEST 131 STREET NY","HARLEM-CENTRAL","R2  -WALK-UP",5,1900,"8,320","197,267",23.71,"78,874",9.48,118393,906000,108.89,2.5670034,13.0676600441501
"1-01828-7503","1540-R1","2072 FRED DOUGLASS BOULEVARD NY","HARLEM-CENTRAL","R2  -WALK-UP",13,1900,"6,866","221,085",32.2,"87,885",12.8,133200,1057997,154.09,1.1763102,12.589827759436
"1-01728-7501","1280-R3","32 WEST 132 STREET NY","HARLEM-CENTRAL","R2  -WALK-UP",5,1900,"8,640","204,854",23.71,"61,430",7.11,143424,1098001,127.08,2.957864,13.0622831855344
"1-01828-7505","1684-R1","2082 FREDERICK DOUGLASS BLVD. NY","HARLEM-CENTRAL","R2  -WALK-UP",14,1900,"6,846","254,192",37.13,"107,003",15.63,147189,1180004,172.36,1.2005448,12.4736017844007
"1-01676-7501","0342-R1","311 EAST 104 STREET NY","HARLEM-EAST","R2  -WALK-UP",12,1900,"6,092","244,655",40.16,"96,193",15.79,148462,1194002,196,2.246361,12.4339825226423
"1-01497-7501","0825-R2","1049 5 AVENUE NY","UPPER EAST SIDE (79-96)","R4  -ELEVATOR",12,1928,"3,812","230,588",60.49,"81,691",21.43,148897,1198002,314.27,1.4926028,12.4287772474503
"1-01397-7502","0230-R1","149 EAST 62 STREET NY","UPPER EAST SIDE (59-79)","R4  -ELEVATOR",12,1915,"4,777","230,060",48.16,"80,588",16.87,149472,1202996,251.83,3.0119258,12.4249789691736
"1-01614-7501","1285-R1","1630 MADISON AVENUE NY","UPPER EAST SIDE (96-110)","R4  -ELEVATOR",11,2003,"7,742","258,041",33.33,"104,285",13.47,153756,1225001,158.23,1.6504384,12.5514999579592
"1-01807-7501","1732-R1","414 EAST 120 STREET NY","HARLEM-EAST","R4  -ELEVATOR",12,2006,"9,745","252,785",25.94,"90,823",9.32,161962,1255996,128.89,3.0249752,12.8951047614801
"1-01660-7501","0716-R1","2141 2 AVENUE NY","HARLEM-EAST","R2  -WALK-UP",10,1910,"6,504","265,753",40.86,"106,601",16.39,159152,1281001,196.96,2.1133814,12.4240340171475
"1-01917-7501","1926-R1","2257 ADAM C. POWELL BOULEVARD NY","HARLEM-CENTRAL","R4  -ELEVATOR",10,2005,"11,679","300,501",25.73,"121,812",10.43,178689,1385000,118.59,2.3818262,12.9017328519856
"1-01627-7501","1628-R1","158 EAST 100 STREET NY","HARLEM-EAST","R4  -ELEVATOR",12,2004,"6,342","263,256",41.51,"91,071",14.36,172185,1385998,218.54,1.6274466,12.4231780998241
"1-01728-7501","1280-R1","24 WEST 131 STREET NY","HARLEM-CENTRAL","R2  -WALK-UP",5,1900,"8,800","255,816",29.07,"78,144",8.88,177672,1397000,158.75,2.5676248,12.7181102362205
"1-01753-7501","1525-R1","23 EAST 128 STREET NY","HARLEM-CENTRAL","R4  -ELEVATOR",12,2005,"12,018","283,144",23.56,"99,028",8.24,184116,1406999,117.07,2.905045,13.0857235861575
"1-01729-7501","0846-R1","55 WEST 131 STREET NY","HARLEM-CENTRAL","R4  -ELEVATOR",34,1910,"28,408","547,138",19.26,"355,668",12.52,191470,1409998,49.63,2.5179128,13.5794518857474
"1-01846-7504","2462-R1","272 MANHATTAN AVENUE NY","MANHATTAN VALLEY","R4  -ELEVATOR",9,1920,"8,999","256,022",28.45,"76,312",8.48,179710,1411999,156.91,1.0271742,12.7273461241828
"1-01795-7502","2125-R1","346 EAST 119 STREET NY","HARLEM-EAST","R4  -ELEVATOR",11,2007,"12,026","304,378",25.31,"114,006",9.48,190372,1472005,122.4,2.6633204,12.9328365053108
"1-01643-7502","2534-R1","110 EAST 116 STREET NY","HARLEM-EAST","RR  -CONRENT",12,1910,"7,322","349,699",47.76,"160,498",21.92,189201,1523000,208,2.1202168,12.4229152987525
"1-01831-7501","1657-R1","245 WEST 115 STREET NY","HARLEM-CENTRAL","R2  -WALK-UP",20,1900,"7,852","298,690",38.04,"107,965",13.75,190725,1531000,194.98,1.3384956,12.4575440888308
"1-01928-7503","1831-R2","256 WEST 123 STREET NY","HARLEM-CENTRAL","R2  -WALK-UP",6,1910,"6,601","277,770",42.08,"84,493",12.8,193277,1555001,235.57,1.758562,12.429381074353
